gene_symbol,legacy_variability_bin
ANKRD1,3
ANKRD10,6
ANKRD11,8
ANKRD12,3
ANKRD13A,1
ANKRD13B,4
ANKRD13C,6
ANKRD13D,4
ANKRD16,7
ANKRD17,6
ANKRD2,3
ANKRD22,6
ANKRD24,6
ANKRD27,3
ANKRD28,6
ANKRD29,2
ANKRD31,3
ANKRD33B,0
ANKRD34A,8
ANKRD34B,3
ANKRD34C,3
ANKRD35,4
ANKRD37,6
ANKRD39,3
ANKRD40,1
ANKRD42,3
ANKRD44,2
ANKRD49,1
ANKRD50,6
ANKRD52,0
ANKRD54,4
ANKRD55,0
ANKRD6,1
ANKRD63,1
ANKRD65,6
ANKRD9,4
ANKS1A,2
ANKS1B,2
ANKS3,7
ANKS4B,2
ANKS6,9
ANKZF1,2
ANLN,2
ANO1,0
ANO10,8
ANO3,4
ANO4,2
ANO5,9
ANO6,4
ANO7,4
ANO8,8
ANO9,9
ANOS1,7
ANP32A,3
ANP32E,6
ANPEP,3
ANTXR1,3
ANTXR2,0
ANTXRL,0
ANXA1,6
ANXA11,3
ANXA13,7
ANXA2,4
ANXA3,1
ANXA4,4
ANXA5,8
ANXA6,1
ANXA7,6
ANXA9,1
AOAH,9
AOC1,2
AOC2,4
AOC3,6
AOX2,2
AP1AR,4
AP1B1,0
AP1M1,3
AP1M2,2
AP1S1,0
AP1S2,0
AP2A1,8
AP2A2,4
AP2B1,0
AP2M1,2
AP2S1,1
AP3B1,1
AP3B2,6
AP3D1,7
AP3M1,7
AP3M2,3
AP3S1,2
AP3S2,2
AP4B1,2
AP4E1,8
AP4M1,6
AP4S1,7
AP5B1,9
AP5S1,3
AP5Z1,7
APAF1,2
APBA1,6
APBA2,0
APBA3,6
APBB1,4
APBB1IP,6
APBB2,0
APBB3,9
APC,1
APC2,0
APCDD1,4
APCDD1L,6
APEH,9
APEX1,9
APEX2,6
APH1A,7
APH1B,3
API5,3
APIP,4
APLF,4
APLNR,6
APLP1,1
APLP2,9
APMAP,8
APOA1,4
APOA5,9
APOB,0
APOBEC2,2
APOBEC3Z1,6
APOBEC3Z3,5
APOBR,2
APOC1,9
APOC3,3
APOD,4
APOE,7
APOF,0
APOL5,4
APOL6,9
APOLD1,0
APOM,9
APOOL,2
APP,2
APPBP2,2
APPL1,2
APPL2,2
APRT,6
APTX,0
AQP1,4
AQP11,6
AQP4,1
AQP5,1
AQP6,6
AQP9,6
AQR,4
AR,2
ARAF,9
ARAP1,8
ARAP2,4
ARAP3,0
ARCN1,1
AREG,1
AREL1,6
ARF1,1
ARF4,4
ARF5,6
ARF6,2
ARFGAP1,3
ARFGAP2,2
ARFGAP3,1
ARFGEF1,8
ARFGEF2,9
ARFGEF3,3
ARFIP1,2
ARFIP2,6
ARFRP1,2
ARG1,2
ARG2,2
ARGLU1,4
ARHGAP1,4
ARHGAP10,9
ARHGAP12,4
ARHGAP15,0
ARHGAP17,4
ARHGAP18,9
ARHGAP20,8
ARHGAP21,3
ARHGAP22,6
ARHGAP23,2
ARHGAP24,3
ARHGAP26,0
ARHGAP28,4
ARHGAP29,6
ARHGAP30,4
ARHGAP31,4
ARHGAP32,0
ARHGAP33,0
ARHGAP35,4
ARHGAP36,7
ARHGAP39,3
ARHGAP4,1
ARHGAP42,1
ARHGAP44,6
ARHGAP45,6
ARHGAP5,0
ARHGAP6,7
ARHGAP8,0
ARHGDIA,6
ARHGDIB,1
ARHGDIG,4
ARHGEF10,9
ARHGEF10L,4
ARHGEF11,8
ARHGEF12,7
ARHGEF15,4
ARHGEF16,0
ARHGEF17,6
ARHGEF19,6
ARHGEF2,0
ARHGEF25,4
ARHGEF26,3
ARHGEF28,1
ARHGEF3,1
ARHGEF33,6
ARHGEF37,8
ARHGEF38,3
ARHGEF39,4
ARHGEF4,0
ARHGEF40,4
ARHGEF5,6
ARHGEF6,4
ARHGEF7,3
ARHGEF9,6
ARID1A,6
ARID1B,2
ARID2,0
ARID3A,6
ARID3B,4
ARID3C,7
ARID4A,6
ARID4B,6
ARID5A,6
ARID5B,7
ARIH1,3
ARIH2,4
ARL1,1
ARL10,4
ARL13B,1
ARL14EP,3
ARL14EPL,2
ARL15,2
ARL16,9
ARL2BP,2
ARL3,4
ARL4C,4
ARL4D,4
ARL5B,9
ARL5C,4
ARL6,1
ARL6IP4,1
ARL6IP5,8
ARL8B,9
ARL9,6
ARMC1,4
ARMC10,6
ARMC12,4
ARMC2,4
ARMC3,5
ARMC5,9
ARMC6,0
ARMC8,6
ARMC9,9
ARMCX1,0
ARMCX2,2
ARMCX3,1
ARMCX4,0
ARMCX5,0
ARMH1,6
ARMH3,3
ARMH4,3
ARMT1,9
ARNT,7
ARNT2,4
ARNTL,4
ARNTL2,4
ARPC1A,4
ARPC1B,3
ARPC2,2
ARPC3,9
ARPC4,1
ARPC5,6
ARPC5L,2
ARPIN,4
ARPP21,3
ARRB1,1
ARRB2,3
ARRDC1,0
ARRDC2,1
ARRDC3,1
ARRDC4,4
ARRDC5,9
ARSA,0
ARSB,2
ARSG,2
ARSH,9
ARSI,2
ARSJ,4
ARSK,9
ART1,7
ART3,5
ART4,1
ART5,6
ARV1,4
ARVCF,2
ARX,9
AS3MT,4
ASAH1,1
ASAP1,1
ASAP2,0
ASB1,9
ASB10,2
ASB11,3
ASB13,6
ASB15,7
ASB16,6
ASB18,0
ASB2,2
ASB3,4
ASB4,1
ASB5,4
ASB6,8
ASB7,4
ASB8,4
ASB9,4
ASCC1,2
ASCC2,0
ASCC3,9
ASCL2,3
ASF1A,7
ASH1L,6
ASH2L,3
ASIC2,8
ASIC3,3
ASIC5,9
ASIP,4
ASMTL,6
ASNS,6
ASNSD1,0
ASPA,8
ASPG,6
ASPH,0
ASPHD1,2
ASPHD2,2
ASPM,3
ASPN,9
ASPRV1,7
ASPSCR1,2
ASRGL1,4
ASS1,9
ASTE1,0
ASTL,3
ASTN1,4
ASTN2,6
ASXL1,6
ASXL2,6
ASXL3,6
ASZ1,2
ATAD1,6
ATAD2,8
ATAD2B,4
ATAD3A,7
ATAD5,3
ATAT1,2
ATCAY,4
ATE1,0
ATF1,1
ATF2,6
ATF3,9
ATF4,1
ATF5,8
ATF6,3
ATF6B,1
ATF7IP,1
ATF7IP2,1
ATG10,9
ATG101,6
ATG12,0
ATG13,0
ATG14,8
ATG16L1,4
ATG16L2,9
ATG2A,4
ATG2B,4
ATG3,2
ATG4A,6
ATG4B,2
ATG4C,0
ATG4D,4
ATG5,6
ATG7,4
ATG9A,0
ATG9B,3
ATIC,9
ATL1,0
ATL2,8
ATL3,4
ATM,6
ATMIN,3
ATOH7,9
ATOX1,2
ATP10A,6
ATP10D,7
ATP11A,9
ATP11B,6
ATP11C,0
ATP12A,0
ATP13A1,7
ATP13A2,6
ATP13A3,3
ATP13A4,6
ATP1A1,0
ATP1A3,8
ATP1B1,1
ATP1B2,6
ATP1B3,4
ATP1B4,8
ATP23,6
ATP2A1,9
ATP2A2,2
ATP2A3,4
ATP2B1,6
ATP2B2,3
ATP2B3,9
ATP2B4,4
ATP2C1,4
ATP2C2,2
ATP4A,2
ATP5F1A,4
ATP5F1B,0
ATP5F1C,2
ATP5F1D,2
ATP5F1E,7
ATP5IF1,6
ATP5MC1,9
ATP5PF,6
ATP6AP1,4
ATP6AP2,4
ATP6V0A1,1
ATP6V0A2,0
ATP6V0A4,9
ATP6V0B,0
ATP6V0C,7
ATP6V0D1,4
ATP6V0D2,2
ATP6V0E1,1
ATP6V1A,0
ATP6V1B1,0
ATP6V1B2,8
ATP6V1C1,4
ATP6V1C2,4
ATP6V1D,7
ATP6V1F,8
ATP6V1FNB,0
ATP6V1G2,4
ATP6V1H,6
ATP7A,4
ATP7B,2
ATP8A1,4
ATP8A2,1
ATP8B1,4
ATP8B2,4
ATP8B4,6
ATP9A,4
ATP9B,0
ATPAF1,7
ATPAF2,2
ATPSCKMT,4
ATR,7
ATRAID,3
ATRIP,8
ATRN,6
