module_label,left_out_gene,n_genes_remaining,correlation_with_full_score
M40,MTFR2,105,0.999961019453501
M40,MXRA5,105,0.9999171881274472
M40,MYBL2,105,0.9999790096831463
M40,MYOF,105,0.9999450126655668
M40,NCAPG,105,0.999966649494261
M40,NDUFB9,105,0.9999261500419132
M40,NIBAN1,105,0.9999308264907473
M40,NMRAL1,105,0.9999611531278145
M40,NSMCE2,105,0.9999410243905679
M40,ORC1,105,0.9999851726777633
M40,ORC6,105,0.999967686452929
M40,PLK4,105,0.9999687740737784
M40,POLE,105,0.9999515146186526
M40,POLE2,105,0.9999634713041802
M40,POLQ,105,0.9999685511335515
M40,RAB30,105,0.9999154750517452
M40,RCOR2,105,0.9999413589828194
M40,RELN,105,0.9999193970968153
M40,REXO5,105,0.9999772092828234
M40,RRM2,105,0.999973483108828
M40,SCML2,105,0.9999359530084424
M40,SFRP4,105,0.9999393272227128
M40,SH3D19,105,0.9999502674971287
M40,SIM2,105,0.9999479931114974
M40,SIVA1,105,0.9999501154666929
M40,SKA3,105,0.9999695778920424
M40,SLC13A5,105,0.9999281439350558
M40,SMO,105,0.999914280591703
M40,SPAG5,105,0.9999861560356887
M40,SPC25,105,0.9999697827426933
M40,ST6GALNAC3,105,0.9999308750557917
M40,ST8SIA5,105,0.9999227051656345
M40,STUM,105,0.9999330637791691
M40,SULT1C4,105,0.9999280992606556
M40,TK1,105,0.9999789810180829
M40,TONSL,105,0.9999544992573476
M40,TOP2A,105,0.9999782280161196
M40,TRIB3,105,0.9999453562598398
M40,TRIP13,105,0.9999630679096305
M40,TSPAN33,105,0.9999446493699483
M40,TYMS,105,0.9999596469159414
M40,UBE2S,105,0.999981027587439
M40,UHRF1,105,0.9999605436384635
