relative_path,filename,suffix,size_bytes,sha256,category,candidate_priority,declared_script,declared_script_version,selected_for_reference_registry,notes
results/tables/GSE238110_frozen_transfer_gene_weights_broad.csv,GSE238110_frozen_transfer_gene_weights_broad.csv,.csv,60534,ee5f661677b173507e04856f848b6757ede2750dd69b9bb0d88a9f6a2a77bd4c,other,low,,,,
results/tables/GSE238110_frozen_transfer_gene_weights_strict.csv,GSE238110_frozen_transfer_gene_weights_strict.csv,.csv,50062,4f065aa4c4edf117a0c74015840d2b4b2347929f172cd517e1818ba0f6163b91,other,low,,,,
results/tables/GSE238110_frozen_transfer_program_freeze.json,GSE238110_frozen_transfer_program_freeze.json,.json,2588,c0eb0a1e10666cc6e72f08842fa36d48a4a9c49966d19f90acc09bd684748e2c,other,low,,,,
results/tables/GSE238110_frozen_transfer_programs_README.txt,GSE238110_frozen_transfer_programs_README.txt,.txt,1427,20d51001ad6da75a56c26d4efb22a029e8f423a507707ec31f2c7dc596d5dda9,other,low,,,,
results/tables/GSE238110_frozen_transfer_scoring_specification.csv,GSE238110_frozen_transfer_scoring_specification.csv,.csv,14951,562aab92caa949691f43b0285cf2585c98008e78c62d2c15477a6d156d7f47a7,other,low,,,,
results/tables/GSE238110_full_cohort_module_scores_for_proliferation_adjustment.csv,GSE238110_full_cohort_module_scores_for_proliferation_adjustment.csv,.csv,50556,9c8bba4a7ad3643170d8bedb07714c7bf8b1c17e0ef2366c7b05e7d381197cde,other,low,,,,
results/tables/GSE238110_leave_module_out_proliferation_full_cohort.csv,GSE238110_leave_module_out_proliferation_full_cohort.csv,.csv,63796,30a243464a1f9780f77250621df8c675e97120ea8bf8062003ebcffda0c6a382,other,low,,,,
results/tables/GSE238110_mb_candidate_genes_from_univariate_cox.csv,GSE238110_mb_candidate_genes_from_univariate_cox.csv,.csv,111279,1736cc19cb2e2e9bd2e4fc2746b71af45c62a6aa62203410ee97e9e318891468,other,low,,,,
results/tables/GSE238110_meta_proliferation_adjustment_summary.csv,GSE238110_meta_proliferation_adjustment_summary.csv,.csv,605,f27277f00a2c0a4ebede496ebddb6ebd49d55ca4a4d2d284c9289117d479ad4a,other,low,,,,
results/tables/GSE238110_meta_proliferation_gene_set.csv,GSE238110_meta_proliferation_gene_set.csv,.csv,10054,d21df2d8c2877e0584e4c410e25b23802c47bb3c4642827dadc62047a3702f8a,other,low,,,,
